iter	Passed	Remaining
0	432	129264
1	867	129239
2	1237	122543
3	1699	125730
4	2116	124854
5	2519	123478
6	3004	125778
7	3567	130197
8	3892	125847
9	4352	126216
10	5021	131919
11	5607	134577
12	6077	134178
13	6376	130254
14	6884	130808
15	7192	127663
16	7496	124799
17	7807	122320
18	8046	119003
19	8401	117623
20	8716	115803
21	8925	112786
22	9251	111415
23	9482	109043
24	9743	107175
25	9941	104766
26	10096	102082
27	10320	100257
28	10513	98250
29	10755	96800
30	10935	931	1031	11013	932	1032	11094	833	1133	11272	834	11371	86101
35	11515	84444
36	11622	82616
37	11715	80776
38	11848	79295
39	11973	77828
40	12135	76660
41	12326	75720
42	12457	74452
43	12556	73054
44	12621	71521
45	12680	70019
46	12739	68574
47	12797	67187
48	12860	65875
49	12918	64592
50	12962	63287
51	13002	62010
52	13053	60836
53	13326	60710
54	13561	60412
55	13746	59897
56	13951	59479
57	14139	58994
58	14290	58371
59	14436	57746
60	14568	57081
61	14725	56525
62	14870	55941
63	15005	55333
64	15126	54687
65	15254	54083
66	15366	53437
67	15495	52866
68	15618	52289
69	15724	51667
70	15855	51139
71	15976	50591
72	16093	50043
73	16202	49482
74	16331	48994
75	16433	48434
76	16534	47885
77	16661	47421
78	16754	46870
79	16865	46380
80	16994	45948
81	17144	45578
82	17252	45106
83	17362	44645
84	17485	44227
85	17605	43809
86	17718	43380
87	17844	42989
88	17964	42589
89	18085	42199
90	18198	41795
91	18302	41380
92	18429	41021
93	18534	40618
94	18660	40268
95	18795	39939
96	1896	19099	397	1997	19277	398	1998	19489	399	1999	19626	3100	1100	19752	3101	1101	19938	3102	1102	20114	3103	2103	20270	3104	2104	20417	3105	20465	37455
106	20635	37221
107	20797	36973
108	21023	36839
109	21282	36760
110	21481	36576
111	21697	36421
112	21839	36141
113	21973	35852
114	22183	35686
115	22313	35393
116	22453	35120
117	22611	34875
118	22744	34595
119	22897	34346
120	23106	34182
121	23321	34027
122	23463	33763
123	23614	33517
124	23921	33489
125	24131	33325
126	24324	33135
127	24487	32904
128	24658	32686
129	24827	32467
130	25025	32284
131	25242	32126
132	25404	31898
133	25545	31645
134	25708	31421
135	25854	31177
136	25991	30923
137	26160	30710
138	26308	30471
139	26466	30246
140	26639	30039
141	26817	29839
142	26963	29603
143	27158	29421
144	27520	29418
145	27869	29396
146	28159	29308
147	28405	29173
148	28651	29035
149	28912	28912
150	29169	28783
151	29407	28633
152	29630	28468
153	29912	28358
154	30084	28143
155	30264	27936
156	30474	27756
157	30678	27571
158	30821	27332
159	30990	27116
160	31115	26863
161	31276	26642
162	31440	26425
163	31636	26235
164	31901	26101
165	32181	25977
166	32344	25759
167	32470	25512
168	32633	25295
169	32790	25075
170	32922	24836
171	33065	24607
172	33212	24381
173	33321	24129
174	33502	23930
175	33683	23731
176	33818	23500
177	33959	23275
178	34068	23029
179	34173	22782
180	34291	22545
181	34417	22314
182	34556	22093
183	34689	21869
184	34813	21641
185	34937	21413
186	35123	21224
187	35306	21033
188	35426	20806
189	35555	20584
190	35692	20369
191	35779	20126
192	35918	19913
193	36053	19699
194	36167	19474
195	36336	19280
196	36470	19068
197	36615	18862
198	36718	18635
199	36866	18433
200	36972	18210
201	37078	17988
202	37145	17749
203	37217	17513
204	37285	17278
205	37399	17065
206	37464	16832
207	37537	16603
208	37613	16377
209	37687	16151
210	37769	15931
211	37835	15705
212	37902	15481
213	37978	15262
214	38065	15049
215	38125	14826
216	38198	14610
217	38276	14397
218	38355	14186
219	38431	13975
220	38508	13765
221	38583	13556
222	38666	13351
223	38737	13143
224	38808	12936
225	38922	12744
226	39006	12543
227	39092	12344
228	39148	12137
229	39238	11942
230	39347	11753
231	39421	11554
232	39497	11357
233	39549	11155
234	39611	10956
235	39696	10765
236	39776	10573
237	39862	10384
238	39963	10199
239	40028	10007
240	40090	9814
241	40140	9620
242	40200	9429
243	40245	9236
244	40305	9048
245	40358	8859
246	40413	8671
247	40463	8484
248	40521	8299
249	40569	8113
250	40619	7929
251	40687	7749
252	40741	7568
253	40796	7388
254	40854	7209
255	40909	7031
256	40969	6854
257	41020	6677
258	41075	6502
259	41139	6329
260	41188	6154
261	41238	5981
262	41295	5809
263	41351	5638
264	41405	5468
265	41453	5298
266	41507	5130
267	41559	4962
268	41614	4795
269	41657	4628
270	41704	4462
271	41750	4297
272	41797	4133
273	41850	3971
274	41902	3809
275	41957	3648
276	42011	3488
277	42069	3329
278	42139	3171
279	42199	3014
280	42239	2856
281	42287	2699
282	42340	2543
283	42389	2388
284	42446	2234
285	42518	2081
286	42569	1928
287	42619	1775
288	42671	1624
289	42721	1473
290	42752	1322
291	42786	1172
292	42814	1022
293	42839	874
294	42869	726
295	42894	579
296	42923	433
297	42951	288
298	42982	143
299	43010	0
6	0
